autohomeid,min_reg_year,max_reg_year
924,2002,2006
925,2002,2006
926,2002,2006
928,2003,2007
933,2002,2006
934,2002,2006
938,2002,2006
939,2002,2006
942,2002,2006
952,2002,2006
957,2002,2006
958,2002,2006
959,2002,2006
961,2002,2006
964,2002,2006
965,2002,2006
967,2002,2006
968,2002,2006
971,2002,2006
973,2002,2006
974,2002,2006
975,2002,2006
976,2002,2006
977,2002,2006
978,2002,2006
979,2002,2006
980,2002,2006
981,2002,2006
982,2002,2006
984,2002,2006
985,2002,2006
988,2002,2006
989,2002,2006
990,2002,2006
991,2002,2006
992,2002,2006
994,2002,2006
995,2002,2006
996,2002,2006
998,2002,2006
1000,2002,2006
1002,2004,2008
1006,2002,2006
1011,2002,2006
1013,2002,2006
1017,2002,2006
1021,2002,2006
1022,2002,2006
1023,2002,2006
1024,2002,2006
1029,2002,2006
1038,2002,2006
1039,2002,2006
1040,2004,2008
1042,2002,2006
1043,2002,2006
1044,2002,2006
1045,2002,2006
1046,2002,2006
1050,2002,2006
1055,2002,2006
1056,2002,2006
1057,2002,2006
1058,2002,2006
1059,2002,2006
1065,2002,2006
1066,2002,2006
1067,2002,2006
1068,2002,2006
1069,2002,2006
1070,2002,2006
1071,2002,2006
1072,2002,2006
1076,2002,2006
1077,2002,2006
1081,2002,2006
1082,2002,2006
1084,2002,2006
1085,2003,2007
1086,2002,2006
1088,2002,2006
1090,2002,2006
1097,2003,2007
1098,2002,2006
1099,2002,2006
1101,2004,2008
1103,2002,2006
1104,2002,2006
1110,2002,2006
1111,2000,2004
1112,2004,2008
1113,2002,2006
1115,2002,2006
1119,2002,2006
1120,2002,2006
1122,2002,2006
1123,2003,2007
1124,2002,2006
1125,2003,2007
1126,2002,2006
1128,2002,2006
1129,2003,2007
1130,2002,2006
1131,2002,2006
1134,2002,2006
1136,2002,2006
1141,2002,2006
1143,2002,2006
1145,2002,2006
1146,2002,2006
1147,2002,2006
1148,2002,2006
1149,2002,2006
1150,2003,2007
1151,2003,2007
1152,2002,2006
1155,2002,2006
1156,2002,2006
1161,2002,2006
1163,2002,2006
1166,2002,2006
1169,2003,2007
1170,2006,2010
1171,2002,2006
1172,2002,2006
1176,2005,2009
1177,2002,2006
1179,2002,2006
1180,2002,2006
1182,2002,2006
1189,2004,2008
1192,2002,2006
1193,2002,2006
1194,2002,2006
1196,2004,2008
1199,2002,2006
1200,2003,2007
1201,2002,2006
1203,2002,2006
1205,2002,2006
1207,2002,2006
1209,2002,2006
1210,2002,2006
1211,2002,2006
1212,2002,2006
1215,2002,2006
1216,2002,2006
1218,2002,2006
1219,2002,2006
1220,2002,2006
1221,2002,2006
1223,2002,2006
1224,2002,2006
1226,2002,2006
1227,2002,2006
1228,2002,2006
1229,2002,2006
1230,2002,2006
1231,2002,2006
1236,2002,2006
1237,2002,2006
1238,2002,2006
1239,2002,2006
1240,2002,2006
1241,2002,2006
1244,2002,2006
1246,2002,2006
1247,2002,2006
1267,2002,2006
1268,2002,2006
1269,2002,2006
1270,2002,2006
1271,2002,2006
1274,2002,2006
1275,2002,2006
1276,2002,2006
1277,2002,2006
1279,2002,2006
1280,2002,2006
1281,2003,2007
1283,2002,2006
1285,2002,2006
1286,2003,2007
1294,2002,2006
1295,2002,2006
1300,2002,2006
1302,2002,2006
1309,2002,2006
1312,2002,2006
1316,2004,2008
1318,2002,2006
1319,2002,2006
1320,2002,2006
1321,2002,2006
1322,2002,2006
1323,2002,2006
1324,2002,2006
1325,2002,2006
1326,2003,2007
1327,2003,2007
1328,2002,2006
1329,2002,2006
1330,2002,2006
1331,2002,2006
1332,2003,2007
1333,2002,2006
1334,2002,2006
1335,2002,2006
1336,2002,2006
1337,2002,2006
1338,2002,2006
1339,2002,2006
1340,2003,2007
1341,2003,2007
1342,2003,2007
1343,2003,2007
1344,2003,2007
1345,2003,2007
1346,2003,2007
1347,2002,2006
1348,2002,2006
1349,2002,2006
1350,2002,2006
1351,2002,2006
1352,2002,2006
1353,2003,2007
1354,2003,2007
1355,2003,2007
1356,2003,2007
1357,2003,2007
1358,2002,2006
1359,2002,2006
1360,2002,2006
1365,2005,2009
1366,2005,2009
1367,2003,2007
1368,2002,2006
1369,2002,2006
1370,2003,2007
1371,2002,2006
1372,2002,2006
1373,2003,2007
1374,2004,2008
1375,2003,2007
1376,2003,2007
1377,2003,2007
1378,2004,2008
1379,2002,2006
1380,2003,2007
1381,2003,2007
1382,2004,2008
1383,2006,2010
1385,2003,2007
1386,2003,2007
1387,2003,2007
1388,2003,2007
1389,2004,2008
1390,2003,2007
1392,2002,2006
1393,2002,2006
1394,2002,2006
1395,2002,2006
1396,2002,2006
1397,2003,2007
1398,2004,2008
1399,2002,2006
1400,2003,2007
1401,2003,2007
1402,2003,2007
1403,2003,2007
1405,2007,2011
1406,2002,2006
1407,2002,2006
1408,2002,2006
1409,2002,2006
1410,2002,2006
1411,2002,2006
1412,2003,2007
1413,2004,2008
1415,2003,2007
1416,2003,2007
1417,2003,2007
1418,2002,2006
1419,2002,2006
1420,2002,2006
1421,2002,2006
1422,2002,2006
1423,2002,2006
1424,2002,2006
1425,2003,2007
1426,2002,2006
1427,2003,2007
1428,2002,2006
1433,2003,2007
1434,2003,2007
1435,2003,2007
1436,2003,2007
1439,2002,2006
1440,2003,2007
1441,2003,2007
1442,2003,2007
1443,2003,2007
1444,2003,2007
1445,2003,2007
1447,2003,2007
1448,2002,2006
1449,2002,2006
1450,2002,2006
1451,2003,2007
1452,2003,2007
1453,2003,2007
1454,2003,2007
1455,2003,2007
1456,2003,2007
1457,2003,2007
1458,2003,2007
1459,2003,2007
1460,2003,2007
1461,2002,2006
1462,2002,2006
1463,2002,2006
1464,2002,2006
1465,2006,2010
1466,2002,2006
1467,2003,2007
1468,2003,2007
1469,2003,2007
1470,2003,2007
1471,2003,2007
1472,2003,2007
1473,2003,2007
1474,2003,2007
1475,2003,2007
1476,2003,2007
1477,2003,2007
1478,2003,2007
1479,2003,2007
1480,2003,2007
1481,2003,2007
1482,2003,2007
1483,2003,2007
1484,2003,2007
1485,2003,2007
1486,2003,2007
1487,2003,2007
1488,2003,2007
1489,2003,2007
1490,2003,2007
1491,2003,2007
1492,2003,2007
1493,2003,2007
1494,2003,2007
1495,2003,2007
1496,2003,2007
1497,2003,2007
1498,2002,2006
1499,2002,2006
1500,2002,2006
1501,2002,2006
1502,2002,2006
1503,2002,2006
1504,2002,2006
1505,2002,2006
1506,2002,2006
1507,2002,2006
1508,2002,2006
1509,2002,2006
1510,2002,2006
1511,2002,2006
1512,2002,2006
1513,2002,2006
1514,2002,2006
1515,2002,2006
1516,2002,2006
1517,2003,2007
1518,2003,2007
1519,2003,2007
1520,2003,2007
1522,2003,2007
1523,2003,2007
1524,2003,2007
1525,2003,2007
1526,2003,2007
1527,2003,2007
1528,2003,2007
1529,2003,2007
1530,2003,2007
1531,2003,2007
1532,2003,2007
1533,2003,2007
1534,2003,2007
1535,2003,2007
1536,2003,2007
1537,2003,2007
1538,2003,2007
1539,2003,2007
1540,2003,2007
1541,2003,2007
1542,2002,2006
1543,2003,2007
1544,2003,2007
1545,2003,2007
1546,2003,2007
1547,2003,2007
1548,2003,2007
1549,2003,2007
1550,2003,2007
1551,2003,2007
1552,2003,2007
1553,2003,2007
1554,2003,2007
1555,2002,2006
1556,2003,2007
1557,2003,2007
1558,2003,2007
1559,2003,2007
1560,2003,2007
1561,2003,2007
1562,2003,2007
1563,2003,2007
1564,2002,2006
1565,2002,2006
1566,2003,2007
1567,2002,2006
1568,2003,2007
1569,2003,2007
1570,2003,2007
1571,2003,2007
1572,2002,2006
1573,2002,2006
1574,2002,2006
1575,2002,2006
1576,2002,2006
1577,2003,2007
1578,2003,2007
1579,2003,2007
1580,2002,2006
1581,2002,2006
1582,2002,2006
1583,2003,2007
1587,2003,2007
1588,2003,2007
1589,2003,2007
1590,2003,2007
1591,2003,2007
1592,2003,2007
1593,2003,2007
1596,2003,2007
1597,2003,2007
1598,2003,2007
1599,2003,2007
1600,2002,2006
1601,2003,2007
1602,2003,2007
1603,2003,2007
1604,2003,2007
1605,2003,2007
1606,2003,2007
1607,2003,2007
1608,2003,2007
1609,2003,2007
1610,2003,2007
1611,2003,2007
1612,2003,2007
1613,2003,2007
1614,2003,2007
1615,2003,2007
1616,2003,2007
1617,2003,2007
1618,2003,2007
1619,2003,2007
1620,2003,2007
1621,2003,2007
1622,2003,2007
1623,2003,2007
1624,2003,2007
1625,2003,2007
1626,2003,2007
1627,2003,2007
1628,2003,2007
1629,2003,2007
1630,2003,2007
1631,2003,2007
1632,2003,2007
1633,2003,2007
1634,2003,2007
1636,2007,2011
1637,2003,2007
1638,2002,2006
1639,2003,2007
1640,2003,2007
1641,2003,2007
1642,2003,2007
1643,2003,2007
1644,2002,2006
1645,2003,2007
1646,2003,2007
1647,2003,2007
1648,2003,2007
1649,2003,2007
1650,2003,2007
1651,2003,2007
1652,2003,2007
1653,2003,2007
1654,2003,2007
1655,2003,2007
1656,2002,2006
1657,2003,2007
1658,2003,2007
1659,2003,2007
1660,2003,2007
1661,2003,2007
1662,2003,2007
1663,2003,2007
1664,2003,2007
1665,2003,2007
1666,2001,2005
1667,2001,2005
1668,2002,2006
1669,2003,2007
1670,2003,2007
1671,2003,2007
1672,2003,2007
1673,2003,2007
1675,2004,2008
1676,2003,2007
1677,2003,2007
1678,2003,2007
1679,2003,2007
1680,2003,2007
1681,2003,2007
1682,2003,2007
1683,2003,2007
1684,2003,2007
1685,2003,2007
1686,2003,2007
1687,2005,2009
1688,2003,2007
1689,2002,2006
1690,2002,2006
1692,2003,2007
1693,2003,2007
1694,2003,2007
1695,2003,2007
1696,2003,2007
1697,2003,2007
1698,2003,2007
1699,2003,2007
1700,2003,2007
1708,2003,2007
1714,2004,2008
1715,2006,2010
1720,2003,2007
1721,2003,2007
1723,2003,2007
1724,2003,2007
1725,2006,2010
1726,2004,2008
1727,2004,2008
1728,2002,2006
1729,2002,2006
1730,2003,2007
1731,2003,2007
1732,2003,2007
1733,2003,2007
1734,2003,2007
1735,2003,2007
1737,2003,2007
1738,2002,2006
1739,2003,2007
1740,2003,2007
1741,2003,2007
1742,2002,2006
1743,2002,2006
1744,2003,2007
1745,2003,2007
1746,2003,2007
1747,2003,2007
1748,2003,2007
1749,2003,2007
1750,2003,2007
1751,2003,2007
1752,2003,2007
1753,2003,2007
1754,2003,2007
1755,2003,2007
1756,2002,2006
1757,2003,2007
1758,2003,2007
1759,2003,2007
1760,2003,2007
1761,2003,2007
1763,2003,2007
1764,2003,2007
1765,2003,2007
1766,2002,2006
1767,2002,2006
1768,2002,2006
1769,2002,2006
1770,2002,2006
1771,2003,2007
1772,2002,2006
1773,2003,2007
1774,2002,2006
1775,2003,2007
1776,2003,2007
1777,2003,2007
1778,2003,2007
1779,2003,2007
1780,2003,2007
1781,2003,2007
1782,2002,2006
1783,2003,2007
1784,2003,2007
1785,2003,2007
1787,2004,2008
1788,2006,2010
1789,2006,2010
1790,2003,2007
1791,2003,2007
1792,2003,2007
1793,2003,2007
1794,2003,2007
1795,2003,2007
1796,2003,2007
1797,2003,2007
1798,2003,2007
1799,2003,2007
1800,2003,2007
1801,2003,2007
1802,2003,2007
1803,2003,2007
1804,2003,2007
1805,2003,2007
1806,2003,2007
1807,2003,2007
1808,2003,2007
1809,2003,2007
1810,2003,2007
1811,2003,2007
1813,2003,2007
1814,2003,2007
1816,2003,2007
1817,2003,2007
1818,2003,2007
1819,2003,2007
1820,2003,2007
1821,2003,2007
1822,2003,2007
1823,2003,2007
1824,2003,2007
1825,2003,2007
1826,2003,2007
1827,2003,2007
1828,2003,2007
1829,2003,2007
1830,2003,2007
1831,2007,2011
1832,2003,2007
1833,2004,2008
1834,2004,2008
1835,2003,2007
1836,2003,2007
1837,2004,2008
1838,2003,2007
1839,2003,2007
1840,2003,2007
1841,2003,2007
1842,2002,2006
1843,2003,2007
1844,2003,2007
1845,2006,2010
1846,2003,2007
1847,2003,2007
1848,2003,2007
1849,2003,2007
1850,2003,2007
1851,2003,2007
1852,2003,2007
1854,2003,2007
1855,2003,2007
1856,2003,2007
1857,2006,2010
1858,2003,2007
1859,2003,2007
1860,2002,2006
1861,2003,2007
1862,2003,2007
1863,2003,2007
1864,2003,2007
1865,2003,2007
1866,2003,2007
1867,2003,2007
1868,2003,2007
1869,2004,2008
1870,2004,2008
1871,2003,2007
1872,2004,2008
1873,2003,2007
1874,2003,2007
1875,2003,2007
1876,2004,2008
1877,2003,2007
1878,2003,2007
1887,2004,2008
1888,2004,2008
1889,2004,2008
1893,2003,2007
1894,2003,2007
1895,2003,2007
1896,2003,2007
1897,2003,2007
1898,2003,2007
1901,2004,2008
1902,2003,2007
1903,2003,2007
1904,2003,2007
1905,2005,2009
1907,2007,2011
1908,2003,2007
1909,2003,2007
1910,2003,2007
1911,2003,2007
1912,2003,2007
1913,2003,2007
1914,2003,2007
1915,2002,2006
1916,2004,2008
1917,2004,2008
1918,2004,2008
1920,2004,2008
1921,2003,2007
1922,2004,2008
1923,2004,2008
1924,2003,2007
1925,2003,2007
1927,2003,2007
1928,2003,2007
1929,2003,2007
1930,2003,2007
1931,2003,2007
1932,2003,2007
1933,2002,2006
1934,2005,2009
1935,2003,2007
1936,2003,2007
1937,2003,2007
1938,2003,2007
1939,2003,2007
1940,2003,2007
1942,2003,2007
1943,2003,2007
1944,2003,2007
1945,2003,2007
1946,2003,2007
1947,2003,2007
1948,2003,2007
1949,2003,2007
1950,2003,2007
1951,2003,2007
1952,2003,2007
1953,2003,2007
1954,2003,2007
1955,2003,2007
1956,2003,2007
1958,2003,2007
1959,2003,2007
1960,2003,2007
1961,2003,2007
1962,2004,2008
1963,2003,2007
1964,2004,2008
1965,2003,2007
1966,2003,2007
1967,2003,2007
1968,2005,2009
1969,2003,2007
1970,2005,2009
1971,2003,2007
1972,2005,2009
1973,2003,2007
1974,2003,2007
1975,2003,2007
1976,2003,2007
1977,2003,2007
1978,2003,2007
1979,2003,2007
1980,2003,2007
1981,2003,2007
1982,2003,2007
1983,2003,2007
1984,2003,2007
1985,2003,2007
1986,2003,2007
1987,2003,2007
1988,2003,2007
1991,2004,2008
1992,2004,2008
1993,2004,2008
1994,2004,2008
1995,2004,2008
1996,2004,2008
1997,2004,2008
1998,2004,2008
1999,2004,2008
2000,2004,2008
2001,2004,2008
2002,2003,2007
2003,2004,2008
2004,2004,2008
2005,2004,2008
2006,2004,2008
2007,2004,2008
2008,2004,2008
2009,2004,2008
2010,2004,2008
2011,2004,2008
2012,2004,2008
2013,2004,2008
2014,2004,2008
2017,2004,2008
2018,2004,2008
2019,2004,2008
2020,2004,2008
2021,2004,2008
2022,2004,2008
2023,2004,2008
2024,2004,2008
2025,2004,2008
2026,2004,2008
2027,2004,2008
2028,2004,2008
2029,2004,2008
2030,2004,2008
2031,2004,2008
2032,2004,2008
2033,2004,2008
2034,2004,2008
2035,2004,2008
2036,2004,2008
2037,2005,2009
2038,2004,2008
2039,2004,2008
2040,2004,2008
2041,2004,2008
2042,2004,2008
2045,2004,2008
2046,2004,2008
2047,2004,2008
2048,2004,2008
2049,2004,2008
2050,2004,2008
2051,2004,2008
2052,2004,2008
2053,2004,2008
2054,2004,2008
2055,2004,2008
2056,2004,2008
2058,2004,2008
2059,2004,2008
2060,2004,2008
2061,2004,2008
2062,2004,2008
2063,2004,2008
2064,2004,2008
2065,2004,2008
2066,2003,2007
2067,2003,2007
2068,2004,2008
2069,2004,2008
2070,2004,2008
2071,2004,2008
2072,2004,2008
2073,2003,2007
2074,2004,2008
2076,2004,2008
2077,2004,2008
2078,2004,2008
2079,2004,2008
2081,2004,2008
2082,2004,2008
2083,2004,2008
2084,2004,2008
2085,2004,2008
2086,2004,2008
2087,2004,2008
2088,2004,2008
2089,2004,2008
2090,2003,2007
2091,2004,2008
2092,2004,2008
2093,2004,2008
2094,2004,2008
2095,2004,2008
2096,2004,2008
2097,2004,2008
2098,2005,2009
2099,2005,2009
2100,2004,2008
2101,2004,2008
2102,2003,2007
2103,2004,2008
2104,2004,2008
2105,2004,2008
2106,2004,2008
2107,2004,2008
2108,2004,2008
2109,2004,2008
2112,2004,2008
2113,2004,2008
2114,2004,2008
2115,2004,2008
2116,2004,2008
2117,2004,2008
2118,2004,2008
2119,2004,2008
2120,2004,2008
2121,2004,2008
2122,2004,2008
2123,2004,2008
2124,2004,2008
2125,2004,2008
2126,2004,2008
2127,2004,2008
2128,2004,2008
2129,2004,2008
2130,2004,2008
2131,2004,2008
2132,2004,2008
2133,2004,2008
2134,2004,2008
2135,2004,2008
2136,2004,2008
2137,2004,2008
2138,2004,2008
2139,2004,2008
2140,2004,2008
2141,2004,2008
2142,2004,2008
2143,2004,2008
2144,2004,2008
2145,2004,2008
2146,2004,2008
2149,2004,2008
2150,2004,2008
2152,2004,2008
2153,2004,2008
2154,2005,2009
2155,2004,2008
2156,2004,2008
2157,2006,2010
2158,2004,2008
2159,2004,2008
2160,2004,2008
2161,2004,2008
2162,2004,2008
2163,2004,2008
2164,2004,2008
2165,2004,2008
2166,2004,2008
2167,2004,2008
2168,2004,2008
2169,2004,2008
2170,2004,2008
2171,2004,2008
2172,2004,2008
2173,2004,2008
2174,2004,2008
2175,2004,2008
2176,2004,2008
2177,2004,2008
2178,2003,2007
2179,2003,2007
2180,2003,2007
2181,2003,2007
2182,2003,2007
2183,2004,2008
2184,2004,2008
2185,2004,2008
2186,2004,2008
2187,2004,2008
2188,2004,2008
2189,2004,2008
2190,2004,2008
2191,2004,2008
2192,2004,2008
2193,2004,2008
2194,2004,2008
2195,2004,2008
2196,2004,2008
2197,2004,2008
2198,2004,2008
2199,2004,2008
2200,2004,2008
2201,2004,2008
2202,2004,2008
2203,2004,2008
2204,2004,2008
2205,2004,2008
2206,2004,2008
2207,2004,2008
2208,2004,2008
2209,2003,2007
2210,2003,2007
2211,2004,2008
2212,2004,2008
2213,2004,2008
2214,2003,2007
2215,2003,2007
2216,2002,2006
2217,2004,2008
2218,2004,2008
2219,2004,2008
2220,2004,2008
2221,2004,2008
2222,2004,2008
2223,2004,2008
2224,2004,2008
2225,2004,2008
2226,2004,2008
2227,2004,2008
2228,2004,2008
2229,2004,2008
2230,2004,2008
2231,2004,2008
2232,2004,2008
2233,2004,2008
2234,2004,2008
2235,2004,2008
2236,2004,2008
2237,2003,2007
2238,2004,2008
2239,2003,2007
2240,2003,2007
2241,2003,2007
2242,2003,2007
2243,2002,2006
2244,2003,2007
2245,2003,2007
2246,2003,2007
2247,2004,2008
2248,2004,2008
2249,2004,2008
2250,2004,2008
2251,2004,2008
2252,2004,2008
2253,2004,2008
2254,2004,2008
2255,2004,2008
2256,2004,2008
2257,2004,2008
2258,2004,2008
2259,2004,2008
2260,2004,2008
2261,2004,2008
2264,2004,2008
2265,2004,2008
2266,2004,2008
2267,2004,2008
2268,2004,2008
2269,2004,2008
2270,2004,2008
2271,2004,2008
2272,2004,2008
2273,2004,2008
2274,2004,2008
2275,2004,2008
2276,2004,2008
2277,2003,2007
2278,2003,2007
2279,2003,2007
2280,2004,2008
2281,2004,2008
2282,2004,2008
2283,2004,2008
2284,2004,2008
2285,2004,2008
2286,2004,2008
2287,2004,2008
2288,2004,2008
2289,2004,2008
2290,2004,2008
2291,2004,2008
2292,2004,2008
2293,2004,2008
2294,2004,2008
2295,2004,2008
2296,2004,2008
2300,2004,2008
2301,2004,2008
2302,2004,2008
2303,2004,2008
2304,2004,2008
2305,2004,2008
2306,2004,2008
2307,2004,2008
2308,2004,2008
2309,2004,2008
2310,2004,2008
2311,2004,2008
2312,2004,2008
2313,2004,2008
2314,2004,2008
2315,2004,2008
2328,2003,2007
2329,2004,2008
2330,2004,2008
2331,2004,2008
2332,2004,2008
2333,2004,2008
2334,2004,2008
2335,2004,2008
2336,2004,2008
2337,2004,2008
2338,2004,2008
2339,2004,2008
2340,2004,2008
2341,2004,2008
2342,2004,2008
2343,2004,2008
2344,2004,2008
2345,2004,2008
2346,2004,2008
2347,2004,2008
2348,2004,2008
2349,2004,2008
2350,2004,2008
2351,2004,2008
2352,2004,2008
2353,2004,2008
2354,2004,2008
2355,2004,2008
2356,2004,2008
2357,2004,2008
2358,2004,2008
2359,2004,2008
2360,2004,2008
2361,2004,2008
2362,2004,2008
2363,2004,2008
2364,2004,2008
2365,2004,2008
2366,2004,2008
2367,2004,2008
2368,2004,2008
2369,2004,2008
2370,2004,2008
2371,2004,2008
2373,2004,2008
2374,2004,2008
2375,2004,2008
2376,2004,2008
2377,2004,2008
2378,2004,2008
2379,2004,2008
2380,2004,2008
2381,2004,2008
2382,2004,2008
2383,2004,2008
2384,2004,2008
2385,2004,2008
2386,2004,2008
2387,2004,2008
2388,2004,2008
2389,2003,2007
2390,2004,2008
2391,2004,2008
2392,2004,2008
2393,2004,2008
2394,2004,2008
2395,2004,2008
2396,2004,2008
2397,2004,2008
2398,2004,2008
2399,2004,2008
2400,2004,2008
2401,2004,2008
2402,2004,2008
2403,2004,2008
2404,2004,2008
2405,2005,2009
2406,2004,2008
2407,2004,2008
2408,2007,2011
2409,2005,2009
2410,2004,2008
2411,2005,2009
2412,2004,2008
2413,2004,2008
2415,2005,2009
2416,2004,2008
2417,2004,2008
2418,2004,2008
2419,2004,2008
2420,2004,2008
2421,2004,2008
2422,2004,2008
2424,2004,2008
2425,2004,2008
2426,2004,2008
2427,2004,2008
2428,2004,2008
2429,2004,2008
2430,2004,2008
2431,2003,2007
2432,2004,2008
2433,2004,2008
2434,2004,2008
2435,2004,2008
2436,2004,2008
2437,2004,2008
2438,2004,2008
2439,2004,2008
2440,2004,2008
2441,2004,2008
2442,2004,2008
2443,2004,2008
2444,2004,2008
2445,2004,2008
2446,2004,2008
2447,2004,2008
2448,2004,2008
2449,2004,2008
2450,2004,2008
2451,2004,2008
2452,2004,2008
2453,2004,2008
2454,2004,2008
2455,2004,2008
2456,2004,2008
2457,2004,2008
2459,2004,2008
2460,2004,2008
2461,2004,2008
2462,2004,2008
2463,2004,2008
2464,2004,2008
2465,2004,2008
2466,2004,2008
2467,2004,2008
2468,2004,2008
2469,2004,2008
2470,2004,2008
2471,2004,2008
2472,2004,2008
2473,2004,2008
2474,2004,2008
2475,2003,2007
2476,2004,2008
2477,2004,2008
2478,2004,2008
2479,2004,2008
2480,2004,2008
2481,2004,2008
2482,2004,2008
2483,2004,2008
2484,2004,2008
2485,2004,2008
2486,2004,2008
2487,2004,2008
2488,2004,2008
2489,2004,2008
2490,2004,2008
2491,2004,2008
2492,2004,2008
2493,2004,2008
2494,2006,2010
2495,2004,2008
2496,2004,2008
2497,2004,2008
2498,2004,2008
2499,2004,2008
2500,2004,2008
2501,2004,2008
2502,2004,2008
2503,2004,2008
2504,2005,2009
2505,2005,2009
2506,2004,2008
2507,2004,2008
